DATE,AMERIBOR
2020-01-01,1.6014107558064516
2020-02-01,1.6308776068965517
2020-03-01,0.69917962645161290452
2020-04-01,0.15505361466666666867
2020-05-01,0.13328602612903225806
2020-06-01,0.09977804300000000100
2020-07-01,0.09471018838709677419
2020-08-01,0.10571702354838709903
2020-09-01,0.10336765766666666767
2020-10-01,0.09001795580645161548
2020-11-01,0.07889937166666666667
2020-12-01,0.08222669000000000032
2021-01-01,0.08390110903225806484
2021-02-01,0.09134016250000000071
2021-03-01,0.08774444133333333533
2021-04-01,0.09084508333333333333
2021-05-01,0.09599622032258064871
2021-06-01,0.10374972400000000233
2021-07-01,0.10949099935483871129
2021-08-01,0.10165131806451613323
2021-09-01,0.09298000000000000367
2021-10-01,0.08871322580645161742
2021-11-01,0.10433700000000000333
2021-12-01,0.13266000000000000677
2022-01-01,0.12185322580645161710
2022-02-01,0.11578750000000000571
2022-03-01,0.23344741935483872258
2022-04-01,0.39089100000000001600
2022-05-01,0.86552838709677423935
2022-06-01,1.2840939285714286
2022-07-01,1.8095748387096775
2022-08-01,2.4539516129032258
2022-09-01,2.6880906666666667
2022-10-01,3.2502619354838710
2022-11-01,3.9664236666666667
2022-12-01,4.3291254838709678
2023-01-01,4.6201483870967742
2023-02-01,4.8595860714285714
2023-03-01,4.9613332258064517
2023-04-01,5.1031230000000000
2023-05-01,5.2669396774193548
2023-06-01,5.2697136666666667
2023-07-01,5.3059451612903226
2023-08-01,5.4890183870967742
2023-09-01,5.4837133333333333
2023-10-01,5.4932925806451613
2023-11-01,5.4632196666666667
2023-12-01,5.4344790322580645
2024-01-01,5.4265474193548387
2024-02-01,5.4210786206896551
2024-03-01,5.4256225806451612
2024-04-01,5.4399760000000000
2024-05-01,5.4609480645161290
2024-06-01,5.4447106666666667
2024-07-01,5.4385783870967742
