DATE,CBBTCUSD
2019-12-01,7248.6387096774193548
2020-01-01,8369.2541935483870968
2020-02-01,9640.9062068965517241
2020-03-01,6884.6190322580645161
2020-04-01,7223.8620000000000000
2020-05-01,9256.7651612903225806
2020-06-01,9479.7740000000000000
2020-07-01,9602.2003225806451613
2020-08-01,11650.661935483871
2020-09-01,10653.842413793103
2020-10-01,11892.769354838710
2020-11-01,16678.554000000000
2020-12-01,21999.282580645161
2021-01-01,34764.030322580645
2021-02-01,46355.972142857143
2021-03-01,54887.245806451613
2021-04-01,57147.287333333333
2021-05-01,46475.561612903226
2021-06-01,35853.960333333333
2021-07-01,34426.548064516129
2021-08-01,45685.172903225806
2021-09-01,45935.895000000000
2021-10-01,57914.644516129032
2021-11-01,60722.928333333333
2021-12-01,49332.712258064516
2022-01-01,41110.410000000000
2022-02-01,40757.126785714286
2022-03-01,41955.959032258065
2022-04-01,41408.029000000000
2022-05-01,31678.829677419355
2022-06-01,24352.125333333333
2022-07-01,21522.836451612903
2022-08-01,22353.555806451613
2022-09-01,19794.120666666667
2022-10-01,19649.742258064516
2022-11-01,17585.576666666667
2022-12-01,16942.768709677419
2023-01-01,20244.936774193548
2023-02-01,23294.730357142857
2023-03-01,25126.022580645161
2023-04-01,28854.519666666667
2023-05-01,27499.102903225806
2023-06-01,27760.137333333333
2023-07-01,30057.101935483871
2023-08-01,27849.976774193548
2023-09-01,26305.655000000000
2023-10-01,29754.165806451613
2023-11-01,36595.672333333333
2023-12-01,42547.516774193548
2024-01-01,42917.402258064516
2024-02-01,49881.018275862069
2024-03-01,67712.556129032258
2024-04-01,65869.815333333333
2024-05-01,65274.708387096774
2024-06-01,65900.320000000000
2024-07-01,62816.968387096774
