Date,Open,High,Low,Close,Adj Close,Volume,
"Dec 1, 2019",28109.74,28701.66,27325.13,28538.44,28538.44,5086880000,
"Jan 1, 2020",28638.97,29373.62,28169.53,28256.03,28256.03,6170770000,-1.009945064
"Feb 1, 2020",28319.65,29568.57,24681.01,25409.36,25409.36,6991990000,-1.106189276
"Mar 1, 2020",25590.51,27102.34,21813.65,21917.16,21917.16,15521140000,-1.147847718
"Apr 1, 2020",21227.38,24764.77,20735.02,24345.72,24345.72,9154390000,-0.894913828
"May 1, 2020",24170.2,24764.77,22378.61,25383.11,25383.11,9805160000,-0.958272072
"Jun 1, 2020",25342.99,27580.91,25283.11,25812.88,25812.88,7940630000,-0.9832104
"Jul 1, 2020",25879.38,27071.33,25523.51,26428.32,26428.32,8210370000,-0.97643743
"Aug 1, 2020",26542.38,28733.35,26534.38,28430.05,28430.05,7452360000,-0.926989478
"Sep 1, 2020",28439.61,29199.35,26751.01,27781.7,27781.7,9973920000,-1.023069154
"Oct 1, 2020",27940.63,28957.9,26143.77,26501.6,26501.6,8439930000,-1.047172422
"Nov 1, 2020",26691.28,30116.51,29691.28,29638.64,29638.64,7872380000,-0.888126193
"Dec 1, 2020",29750.77,31272.22,29172.98,30606.48,30606.48,8096310000,-0.967867164
"Jan 1, 2021",30627.47,31272.22,29856.3,29982.62,29982.62,8168770000,-1.020593871
"Feb 1, 2021",30054.73,32009.64,30014.97,30932.37,30932.37,6713920000,-0.968814672
"Mar 1, 2021",31065.9,33259,30547.53,32981.55,32981.55,9687630000,-0.935854894
"Apr 1, 2021",33054.58,34256.75,32985.35,33874.85,33874.85,6810740000,-0.973275463
"May 1, 2021",33904.89,35091.56,33473.8,34529.45,34529.45,6543360000,-0.980860268
"Jun 1, 2021",34584.19,34849.32,32719.93,34502.51,34502.51,6739760000,-1.000780508
"Jul 1, 2021",34750.27,34741.76,33271.93,34935.47,34935.47,6646870000,-0.98752943
"Aug 1, 2021",34968.56,35631.19,34690.25,35360.73,35360.73,5625700000,-0.987900763
"Sep 1, 2021",35387.55,35475.4,33843.92,33843.92,33843.92,6603470000,-1.043842515
"Oct 1, 2021",33930.7,35892.92,33785.54,35819.56,35819.56,6709650000,-0.943265254
"Nov 1, 2021",35833.65,36565.73,34424.44,34483.72,34483.72,7201370000,-1.038006784
"Dec 1, 2021",34678.94,36679.44,34006.98,36338.3,36338.3,8304570000,-0.947615047
"Jan 1, 2022",36215.22,36725.05,35131.86,35131.86,35131.86,8554800000,-1.03376387
"Feb 1, 2022",35151.47,35824.28,33272.64,33892.6,33892.6,7256150000,-1.03591171
"Mar 1, 2022",33813.48,35372.26,32578.73,34678.35,34678.35,9154390000,-0.977081129
"Apr 1, 2022",34740.89,35492.22,32913.15,32977.21,32977.21,7146800000,-1.050298856
"May 1, 2022",32978.49,34117.74,30635.76,32990.12,32990.12,8934160000,-0.999608594
"Jun 1, 2022",33156.31,33272.34,29653.29,30775.43,30775.43,7655170000,-1.069491478
"Jul 1, 2022",30737.77,32910.18,30143.93,32845.13,32845.13,6354530000,-1.004404638
"Aug 1, 2022",32755.71,34281.36,31509.55,31510.43,31510.43,6960090000,-1.041484882
"Sep 1, 2022",31454.58,32504.04,28715.85,28725.51,28725.51,7785160000,-1.092533024
"Oct 1, 2022",28855.25,32889.81,28660.94,32732.95,32732.95,7758140000,-0.869403362
"Nov 1, 2022",32862.79,34589.77,31727.05,34589.77,34589.77,7214910000,-0.944824242
"Dec 1, 2022",34359.3,34712.22,32375.42,33147.25,33147.25,6926490000,-1.042598217
"Jan 1, 2023",33148.9,34342.32,32812.33,34086.04,34086.04,6774530000,-0.972071841
"Feb 1, 2023",34039.6,34334.7,32636.43,32656.7,32656.7,6105230000,-1.042837875
"Mar 1, 2023",32656.37,33572.22,31429.82,33274.15,33274.15,8080340000,-0.981269222
"Apr 1, 2023",33245.78,34104.56,33104.56,34098.16,34098.16,5336930000,-0.975537395
"May 1, 2023",34116.81,34257.83,32586.56,32908.27,32908.27,6622820000,-1.03551943
"Jun 1, 2023",32929.85,34588.68,32704.51,34407.6,34407.6,6973110000,-0.955446524
"Jul 1, 2023",34369.78,35645.35,33705.68,35559.53,35559.53,6364870000,-0.967069277
"Aug 1, 2023",35585.99,35679.13,34029.22,34721.91,34721.91,7048360000,-1.023837294
"Sep 1, 2023",34876.24,34979.18,33306.3,33507.5,33507.5,6186180000,-1.035601605
"Oct 1, 2023",33455.5,34147.63,32270.36,33052.87,33052.87,6689000000,-1.013660894
"Nov 1, 2023",33081.87,35970.7,33085.05,35950.89,35950.89,6275680000,-0.91595456
"Dec 1, 2023",35914.45,37778.85,35914.45,37689.54,37689.54,6326740000,-0.952771238
"Jan 1, 2024",37566.22,38588.86,37122.95,38150.3,38150.3,7141910000,-0.987848981
"Feb 1, 2024",38175.34,39282.28,38039.86,38996.39,38996.39,6258860000,-0.978064544
"Mar 1, 2024",38989.51,39889.05,38657.83,39807.37,39807.37,7300670000,-0.979417007
"Apr 1, 2024",39807.93,39815,37611.56,37815.92,37815.92,7743400000,-1.051321893
"May 1, 2024",37845.56,40077.4,37780.54,38686.32,38686.32,7502120000,-0.977244129
"Jun 1, 2024",38709.99,39571.23,38247.22,39118.86,39118.86,7213580000,-0.988881346
07/01/2024,39186.2,41376,43037.94,40842.79,40842.79,7507140000,-0.956874397
