Date,Open,High,Low,Close,Adj Close,Volume
2019/12/1,8672.839844,9052,8435.400391,8972.599609,8972.599609,46214040000
2020/1/1,9039.459961,9451.429688,8943.5,9150.94043,9150.94043,52694760000
2020/2/1,9190.719727,9838.370117,8264.160156,8567.370117,8567.370117,53886320000
2020/3/1,8667.139648,9070.320313,6631.419922,7700.100098,7700.100098,97320230000
2020/4/1,7459.5,8957.269531,7288.109863,8889.549805,8889.549805,79171670000
2020/5/1,8681.290039,9523.639648,8537.830078,9489.870117,9489.870117,81175640000
2020/6/1,9471.419922,10221.84961,9403,10058.76953,10058.76953,112284350000
2020/7/1,10063.66992,10839.92969,10048.04004,10745.26953,10745.26953,95054280000
2020/8/1,10848.63965,11829.83984,10762.70996,11775.45996,11775.45996,78996130000
2020/9/1,11850.95996,12074.05957,10519.49023,11167.50977,11167.50977,82496920000
2020/10/1,11291.99023,11965.54004,10822.57031,10911.58984,10911.58984,78287400000
2020/11/1,11010.4502,12244.65039,10830.9502,12198.74023,12198.74023,91282630000
2020/12/1,12313.36035,12973.33008,12214.74023,12888.28027,12888.28027,112635010000
2021/1/1,12958.51953,13728.98047,12543.24023,13070.69043,13070.69043,139796850000
2021/2/1,13226.17969,14175.12012,13003.98047,13192.34961,13192.34961,142926770000
2021/3/1,13406.16016,13620.70996,12397.04981,13246.87012,13246.87012,134201470000
2021/4/1,13414.32031,14211.57031,13404.17969,13962.67969,13962.67969,91591470000
2021/5/1,14031.76953,14042.12012,13002.54004,13748.74023,13748.74023,89415440000
2021/6/1,13829.05957,14535.96973,13548.92969,14503.9502,14503.9502,108377000000
2021/7/1,14493.69043,14863.65039,14178.66016,14672.67969,14672.67969,88708530000
2021/8/1,14758.59961,15288.08008,14423.16016,15259.24023,15259.24023,88083480000
2021/9/1,15308.98047,15403.44043,14444.29981,14448.58008,14448.58008,95275100000
2021/10/1,14494.92969,15504.12012,14181.69043,15498.38965,15498.38965,99492020000
2021/11/1,15541.25977,16212.23047,15451.38965,15537.69043,15537.69043,109314860000
2021/12/1,15752.26953,15901.46973,14860.04004,15644.96973,15644.96973,104264460000
2022/1/1,15732.5,15852.13965,13094.65039,14239.87988,14239.87988,100106820000
2022/2/1,14277.42969,14509.55957,12587.87988,13751.40039,13751.40039,89543300000
2022/3/1,13716.7002,14646.90039,12555.34961,14220.51953,14220.51953,131081330000
2022/4/1,14269.53027,14534.37988,12315.74023,12334.63965,12334.63965,96581010000
2022/5/1,12331.69043,12985.00977,11035.69043,12081.38965,12081.38965,111465680000
2022/6/1,12176.88965,12320.12012,10565.13965,11028.74023,11028.74023,113875890000
2022/7/1,11006.83008,12426.25977,10911.4502,12390.69043,12390.69043,94293720000
2022/8/1,12317.95996,13181.08984,11790.01953,11816.2002,11816.2002,110367680000
2022/9/1,11707.44043,12270.19043,10572.33008,10575.62012,10575.62012,98888530000
2022/10/1,10659.00977,11230.44043,10088.83008,10988.15039,10988.15039,98292380000
2022/11/1,11154.74023,11492.62012,10262.92969,11468,11468,101572370000
2022/12/1,11475.16992,11571.63965,10207.46973,10466.48047,10466.48047,100007430000
2023/1/1,10562.05957,11691.88965,10265.04004,11584.54981,11584.54981,106732920000
2023/2/1,11573.13965,12269.54981,11334.46973,11455.54004,11455.54004,99644100000
2023/3/1,11447.58008,12227.92969,10982.79981,12221.91016,12221.91016,120323510000
2023/4/1,12146.08984,12245.42969,11798.76953,12226.58008,12226.58008,90509520000
2023/5/1,12210.04981,13154.29004,11925.37012,12935.29004,12935.29004,101290320000
2023/6/1,12944.45996,13864.05957,12903.62988,13787.91992,13787.91992,107650300000
2023/7/1,13798.7002,14446.54981,13567.25,14346.01953,14346.01953,96983440000
2023/8/1,14274.92969,14309.20996,13161.75977,14034.96973,14034.96973,110754840000
2023/9/1,14129.95996,14149.62012,12963.16016,13219.32031,13219.32031,94727650000
2023/10/1,13217.98047,13714.13965,12543.86035,12851.24023,12851.24023,97818540000
2023/11/1,12887.05957,14423.21973,12875.2002,14226.21973,14226.21973,95884580000
2023/12/1,14181.34961,15150.07031,14058.51953,15011.34961,15011.34961,120361680000
2024/1/1,14873.7002,15630.58008,14477.57031,15164.00977,15164.00977,111351260000
2024/2/1,15254.01953,16134.21973,15208.87988,16091.91992,16091.91992,106763830000
2024/3/1,16109.83008,16538.85938,15862.62988,16379.45996,16379.45996,106387420000
2024/4/1,16397.05078,16490.65039,15222.78027,15657.82031,15657.82031,107535290000
2024/5/1,15646.08984,17032.66016,15557.63965,16735.01953,16735.01953,140039820000
2024/6/1,16865.69922,18035,16646.42969,17732.59961,17732.59961,107772060000
